,description,poste,entreprise,localisation,ADRESSE,DATE DE PUBLICATION,scrap_timestamp,TYPE DE CONTRAT,SALAIRE
0,"About Jumia:
Jumia is the leading pan-Africa e-commerce platform. Founded in 2012, Jumia's mission is to improve the quality of everyday life in Africa by leveraging technology to deliver innovative, convenient and affordable online services to consumers, while helping businesses grow as they use our platform to reach and serve consumers.
Our platforms among others, comprises of:
Marketplace, where we integrate with our sellers and manage products;
Mall, which is our core e-com platform that enables customers to buy products;
Logistics service, which enables the shipment and delivery of packages from sellers to consumers, and our external clients;
Payment service, which facilitates transactions among participants active on our platform in our markets.
Through our online platforms, consumers can access a wide range of physical and digital goods and services, fashion, electronics, beauty products and also hotel and flight bookings or restaurant delivery.
With over 5,000 employees in more than 10 countries in Africa, Jumia is led by top talented leaders offering a great mix of local and international talents and is backed by very high-profile shareholders. Jumia is committed to creating a sustainable impact for Africa. Jumia offers unique opportunities in a vibrant and booming environment, creating new jobs and skills, and empowering a new generation. 
 Main responsibilities:

Your daily tasks will include:
 * preparing and posting accounting entries, by compiling and analyzing data from operational
systems
 * summarizing and reconciling accounting with operational systems
* substantiating financial transactions
 * liaising with operation teams and controllers to explain financial variances.
 * reconciling bank statement transactions with the ERP entries.
* final bank reconciliations to meet SOX Control Standards.
  We Offer:
A unique experience in an entrepreneurial, yet structured environment
A unique opportunity of having strong impact in building the African e-commerce sector
The opportunity to become part of a highly professional and dynamic team
An unparalleled personal and professional growth as our longer term objective is to train the next generation of leaders",Central - Shared Accountant - Jumia (Internship),Jumia,Tunis,"
Tunis,","
Aujourd'hui",2023-07-04 12:48:15.137949,,
1,"Job Number 23116942
Job Category Food and Beverage & Culinary
Location Tunis Marriott Hotel, Centre Urbain Nord, Tunis, Tunisia, Tunisia VIEW ON MAP
Schedule Full-Time
Located Remotely? N
Relocation? N
Position Type Non-Management
POSITION SUMMARY
Prepare special meals or substitute items. Regulate temperature of ovens, broilers, grills, and roasters. Pull food from freezer storage to thaw in the refrigerator. Ensure proper portion, arrangement, and food garnish. Maintain food logs. Monitor the quality and quantity of food that is prepared. Communicate assistance needed during busy periods. Inform Chef of excess food items for use in daily specials. Inform Food & Beverage service staff of menu specials and out of stock menu items. Ensure the quality of the food items. Prepare and cook food according to recipes, quality standards, presentation standards, and food preparation checklist. Prepare cold foods.
Assist management in hiring, training, scheduling, evaluating, counseling, disciplining, and motivating and coaching employees; serve as a role model. Follow all company and safety and security policies and procedures; report maintenance needs, accidents, injuries, and unsafe work conditions to manager; complete safety training and certifications. Ensure uniform and personal appearance are clean and professional; maintain confidentiality of proprietary information; protect company assets. Anticipate and address guests’ service needs. Speak with others using clear and professional language. Develop and maintain positive working relationships with others; support team to reach common goals; listen and respond appropriately to the concerns of other employees. Ensure adherence to quality expectations and standards. Stand, sit, or walk for an extended period of time. Reach overhead and below the knees, including bending, twisting, pulling, and stooping. Move, lift, carry, push, pull, and place objects weighing less than or equal to 25 pounds without assistance. Perform other reasonable job duties as requested by Supervisors.
 Marriott International is an equal opportunity employer. We believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. We are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law.

Marriott International portfolio of brands includes both JW Marriott and Marriott Hotels.
Marriott Hotels, Marriott International’s flagship brand with more than 500 global locations, is advancing the art of hosting so that our guests can travel brilliantly. As a host with Marriott Hotels, you will help keep this promise by delivering premium choices, sophisticated style, and well-crafted details. With your skills and imagination, together we will innovate and reinvent the future of travel.

JW Marriott is part of Marriott International's luxury portfolio and consists of more than 80 beautiful properties in gateway cities and distinctive resort locations around the world. JW believes our associates come first. Because if you’re happy, our guests will be happy. It’s as simple as that. Our hotels offer a work experience unlike any other, where you’ll be part of a community and enjoy a true camaraderie with a diverse group of co-workers. JW creates opportunities for training, development, recognition and most importantly, a place where you can really pursue your passions in a luxury environment. Treating guests exceptionally starts with the way we take care of our associates. That’s The JW Treatment™.",Commis,Marriott International,Plusieurs Emplacements,"
Centre Urbain Nord
Tunis, Tunisia 1082;
UNAVAILABLE, Tunis","
Il y a 7 jours",2023-07-04 12:48:15.545246,"
Temps Plein",
2,"Overview
The Sales administrator & Deal Desk Analyst is an integral role to a deal desk team; this person acts as a trusted advisor to the sales team. Working on complex and non-standard deals, to get those deals moved along as seamlessly as possible.
 The SADDA will be involved in all stages of the sales process--from customer quoting to Order Processing --and ensures that field sales team support is conducted in accordance with ADP policies. He/she will liaise with multiple departments that touch/impact those deals such as sales, product, legal, and finance
 SADDA responsibilities will include, but are not limited to, supporting salespersons, creating quotes, basic order processing, pricing, discount approvals, troubleshooting and problem solving, tracking and reporting, sales support, and other assigned activities. The role will focus on ADP products managed in UK.
 Responsibilities
Act as primary sales support to DM's and Sales Leadership in all things deal creation, quoting and order processing.
Work closely with DM's to structure complex deals.
Identify bottlenecks in the sales process by reviewing deal data.
Improve Sales team's productivity by supporting DM's with Sales Force.com, preparing quotes, understanding products, and data reporting.
Monitor the Deal Desk approval queue to ensure quote policies are being adhered to, quote timeliness, and escalate issues as needed.
Train field sales teams to help onboard them on existing best practices and new implementations.
Act as liaison between Field Sales, Operations, Sales Operations, Finance, Legal, DSO etc
Provide communication and education on current processes and best practices.
Coordinating requests, escalations, fire drills and day-to-day activities.
Ensure the integrity of SFDC data.
Take initiative to accept and resolve issues.
Performs other related duties as assigned.
Essential qualifications/Experience :
Fluency in English (written & verbal) is mandatory (eliminatory criterion),
Detail-oriented with a proven ability to multitask,
Take initiative and act as an owner to solve problems,
Enjoy identifying issues and proposing solutions,
Business bachelor or equivalent preferred,
2+ years in Deal Desk, Order Management, Banking, Accounting, Finance or Sales Operations experience desired,
Proficient in Microsoft Excel, SFDC or other CRM or Order Management Software experience, CPQ is desirable.
Explore our COVID-19 page https://jobs.adp.com/covid19/ to understand how ADP is approaching safety, travel, the hiring interview process, and more.
Diversity, Equity, Inclusion & Equal Employment Opportunity at ADP: ADP affirms that inequality is detrimental to our associates, our clients, and the communities we serve. Our goal is to impact lasting change through our actions. Together, we unite for equality and equity. ADP is committed to equal employment opportunities regardless of any protected characteristic, including race, color, genetic information, creed, national origin, religion, sex, affectional or sexual orientation, gender identity or expression, lawful alien status, ancestry, age, marital status, or protected veteran status and will not discriminate against anyone on the basis of a disability. We support an inclusive workplace where associates excel based on personal merit, qualifications, experience, ability, and job performance.
Ethics at ADP: ADP has a long, proud history of conducting business with the highest ethical standards and full compliance with all applicable laws. We also expect our people to uphold our values with the highest level of integrity and behave in a manner that fosters an honest and respectful workplace. Click https://jobs.adp.com/life-at-adp/ to learn more about ADP’s culture and our full set of values.",Analyste d'affaires,ADP,"Tunis, Tunis","
Avenue Zohra Faiza
Tunis, Tunis 1003","
Il y a 8 jours",2023-07-04 12:48:15.930082,"
Temps Plein","
1 $US–1 000 000 $US Par An"
3,"Company Description

Tunisia hotel deals from Anantara Sahara Tozeur Resort & Villas, for your luxurious gateway to the majesty of the Sahara.
Indulge even more with exclusive promotions to enrich your stay at Anantara Sahara Tozeur Resort & Villas.
Job Description

WHAT WE BELIEVE AND HOW WE CHOOSE TO BEHAVE
At Anantara Hotels we always behave in the following way…
We have pride in our work, how we present ourselves, and how we communicate with our guests and colleagues.
We use our initiative and always find the best way to solve a problem for a guest or a colleague.
We work as a team with colleagues across all departments to deliver the highest quality of service on all occasions.
We always think of new ways to surprise and delight our guests.
We treat guests and colleagues with dignity and respect.  Everyone is important.
We hold ourselves to the highest standards of honesty and integrity.
We are proud to represent our hotel and our country to guests from all over the world. 
WHY THIS JOB EXISTS
To serve the needs of the business, our guests, and our colleagues by leading the achievement of the financial, strategic, and operational goals and targets of the hotel.
At Anantara Hotels, we proudly represent our hotel and country to guests from all over the world.  We treat our guests and our colleagues with respect and work hard together to deliver the highest quality of service to all.
KEY DUTIES AND RESPONSIBILITIES
Please note that this is not an exhaustive list of everything that needs to be done.  Anantara employees always find new ways to look after the business, their guests, and their colleagues.   The key responsibilities for this position are:
To lead and manage the development of the hotel strategy.
To set the annual budget and then deliver the Revenue and GOP targets of the property.
To effectively lead and manage all day-to-day operational activities of the hotel, through the Resident Manager and the operational department heads.
To effectively manage the owner relationship on behalf of the company.
To successfully position the hotel from a Sales and Property Marketing perspective.
To ensure that accurate forecasting and Revenue Management activities are taking place.
To ensure that the operational and service skills of the hotel employees are constantly improved.
To support and implement all corporate programs and guidelines.
HOW YOU CAN SUCCEED IN THIS ROLE
Within Anantara Hotels, the top-performing people who do this job always demonstrate the following attitude:
Working with Others:
They always try to anticipate and exceed the needs of customers and colleagues
They use their own initiative and good judgment to solve problems in a calm and efficient way
They enjoy working with others to achieve common goals.  They volunteer as required to ensure the success of the team
They act with personal professionalism and integrity at all times
Taking Responsibility:
They always conduct business honestly and fairly.  They keep sensitive information confidential.
They can priorprior prioritizerload effectively and be organized and structured at work
They manage their time and pay attention to detail.  They know their job and are able to work without close supervision.
They display a positive attitude, even under pressure.  They personally check their work to ensure its accuracy.
Delivering Results:
They are committed to meeting and exceeding all performance standards
They constantly look to develop their own professional skills and abilities
They perform job tasks in line with established policies and procedures
They always try to provide a top-quality experience to all our guests.
Qualifications

Your experience and skills include:
5+ years' of previous experience in a Luxury leadership role 
Understanding of the local market 
Passionate to grow and develop self and others
Strong relator with abilities to build relationships
Strategic, creative, and able to communicate effectively
A proven leader who is able to inspire others
Strong business acumen and demonstrated success in driving the business's commercial performance and delivering on KPIs.",General Manager,Anantara,Tunis,"
Tunis,","
Il y a 1 jour",2023-07-04 12:48:16.356002,,
4,"Sous la supervision directe du responsable opérationnel, le/la chargé.e administratif et financier sera amené.e à effectuer les missions suivantes : • Suivi financier des projets en cours / assurer le suivi comptable • Gestion du paiement des prestataires et suivi de caisse • Gestion des fournitures, des consommables et de l’espace de travail • Support sur la production des reporting financiers • Ponctuellement, il/elle pourra être amené.e à effectuer d’autres missions confiées par le responsable opérationnel",Chargé.e administratif et financier,INCO,Tunis,"
Tunis,","
Il y a 30+ jours",2023-07-04 12:48:16.671058,,
5,"ADP recruits a Team Leader
Are you looking to join a dynamic and inclusive team and work in a collaborative culture?
Are you ready to take your career to a recognized and reputable global leader?
Are you looking for a memorable experience?
Yes? ... Keep reading and find out for yourself!
As Team Leader for the Swiss activity, your mission will be to manage a team composed of Payroll Managers and/or Implemented Analysts. Your responsibility is to ensure team commitment, service excellence and customer satisfaction.
What you need to know about ADP: We believe that great companies are built by great people, for great people. ADP works with more than 740,000 companies worldwide to help their employees work smarter, take on new challenges and develop their talent.
What You're Going to Do: Your Responsibilities
Coaching a team:
Lead and supervise a team of employees who manage all paie operations.
Supervise and propose actions to your employees to ensure the achievement of objectives
Know how to direct your team towards the priorities defined previously
Ensure the management of the team by setting up an effective organization adapted to the business requirements
Accompany and guide your employees to help them overcome difficulties
Support the team's skills development
Promote the team's talents and set up the necessary action plans to support them
Support your employees during changes
Manage production:
Manage the team's load (Productivity, quality and deadlines) to guarantee customer satisfaction
Monitor the progress of the activity on a daily basis
Be the guarantor of the production and quality of the services provided
Manage/mount activity management indicators (KPIs)
Collaborate on a daily basis:
Create a collaborative environment with internal and external customers
Share any type of information with your peers, support functions, counterparts and your hierarchy in order to facilitate collaboration and ensure continuity and service excellence
Ensure the sharing and communication of objectives, achievements, ongoing actions, projections, difficulties, results and roles with your hierarchy
Experiences You'll Need: Qualifications Required
Positive and autonomous: You are optimistic and persistent; you know how to manage your time and present your ideas in a clear and professional way whether in person, in writing, or by phone; you are able to handle difficult situations
Continuous learning: You always learn new things, you develop and you work on continuous improvement
Teamwork: You are able to participate in the achievement of shared objectives, to collaborate with others and to prioritize the success of the group
Spirit of innovation: You think outside the box and turn problems into solutions, ideas into actions and plans into results and you are ready for any kind of change
Emotional management: You are empathetic, have a good resistance to stress and demonstrate both confidence and pedagogy
Exemplarity: You lead by example in all circumstances and embody the company's values
Project management: You know the techniques of project management, you know how to deploy the means and materials necessary to achieve the objectives set
Technical skills: You use the Microsoft Office tools to know the Excel, Power point and Word formulas
Language skills: You have excellent communication skills in French and English (written/verbal), German is an asset
Team management: You have proven experience in team management
Academic training: You are of Bac + 3 or more in Human Resources, Finance, Management, Economics or equivalent diploma
Preference will be given to candidates who have:
The ability to communicate in German orally and in writing
The habit of working in a structured, performance-based environment while demonstrating high ethical standards
Agility in learning
Knowledge of Swiss payroll
Mastery of Excel functions (V search, pivot table, etc., formulas)
By joining ADP, you will be ableto:
Develop your strengths and leave your mark
Love what you do
Live a memorable experience
Participate in exciting internal activities
Join a company that is committed to giving back
Reconciling private and professional life
Focus on your mental health and well-being
Putting your ideas into practice
What are you waiting for? Apply now :)
 Explore our COVID-19 page https://jobs.adp.com/covid19/ to understand how ADP is approaching safety, travel, the hiring interview process, and more.
Diversity, Equity, Inclusion & Equal Employment Opportunity at ADP: ADP affirms that inequality is detrimental to our associates, our clients, and the communities we serve. Our goal is to impact lasting change through our actions. Together, we unite for equality and equity. ADP is committed to equal employment opportunities regardless of any protected characteristic, including race, color, genetic information, creed, national origin, religion, sex, affectional or sexual orientation, gender identity or expression, lawful alien status, ancestry, age, marital status, or protected veteran status and will not discriminate against anyone on the basis of a disability. We support an inclusive workplace where associates excel based on personal merit, qualifications, experience, ability, and job performance.
Ethics at ADP: ADP has a long, proud history of conducting business with the highest ethical standards and full compliance with all applicable laws. We also expect our people to uphold our values with the highest level of integrity and behave in a manner that fosters an honest and respectful workplace. Click https://jobs.adp.com/life-at-adp/ to learn more about ADP’s culture and our full set of values.",Swiss payroll team leader,ADP,"Tunis, Tunis","
Avenue Zohra Faiza
Tunis, Tunis 1003","
Il y a 30+ jours",2023-07-04 12:48:17.361563,"
Temps Plein","
1 $US–1 000 000 $US Par An"
6,"En tant que chargé(é) de support IT vous serez intégré dans une équipe projet sous la responsabilité d'un responsable support.
Nous vous proposons de :
Participer à des projets de grande envergure en accompagnant nos clients
Bénéficier d’un encadrement expérimenté qui vous permettra de progresser en permanence
Intervenir dans des contextes stratégiques pour nos clients, engagés dans des transformations e-commerce, pour vivre des challenges variés
Développer vos compétences, votre sens du service afin de vous ouvrir à de multiples voies d’évolution et d’orientation de votre carrière
Participer à un projet d'entreprise innovant et ambitieux

Rejoindre DECADE c'est rejoindre :
Une entreprise stable avec un projet innovant et ambitieux
Une entreprise qui favorise le management de proximité et l'écoute de tous les collaborateurs
Une entreprise où règne une très bonne ambiance
Une entreprise qui dispose d'un savoir faire technique de haut niveau
Le secteur de l'e-commerce, un secteur très dynamique avec des projets à fort enjeux",Chargé(e)s de support IT (H/F),DECADE,Tunis,"
Tunis,","
Il y a 3 jours",2023-07-04 12:48:17.827594,,
7,"Contexte :
Dans le cadre de notre développement, nous cherchons à renforcer notre équipe avec un(e) analyste programmeur(se) AS400 (IBM i) pour assurer le développement et la maintenance de notre applicatif iD400.
Poste basé en France
100% télétravail
Salaire intéressant
Prérequis :
Vous avez une formation supérieure en informatique, de type DUT Informatique
Vous avez au moins 5 à 10 ans d'expérience sur un poste similaire
Vous maîtrisez les outils techniques AS400, SQL DB2, RPG III, RPG ILE, COOLPLEX
La connaissance de SYNON/ CA2E ou un autre AGL est nécessaire
Vous appréciez le travail en équipe et vous avez de bonnes capacités de communication, à l'écrit comme à l'oral
Responsabilités :
Réaliser les développements et les corrections à partir des spécifications techniques et/ou éventuellement fonctionnelles ou des analyses d'anomalies
Réaliser les tests unitaires de vos développements/corrections
Analyser les anomalies et apporter la correction nécessaire
Rédiger les spécifications fonctionnelles et/ou techniques détaillées",Analyste programmeur AS400 - Remote,PRAGMATIKE,Tunis,"
Tunis,","
Il y a 4 jours",2023-07-04 12:48:18.186420,,
8,"The QA test engineer is responsible for the: Developing and supporting the planning, design, and execution of test plans for projects Collaborate with developers and product owners to write test cases for each feature Perform manual tests and ensure that the completed features satisfy all the acceptance criteria Execute test campaigns according to the quality assurance cycle at Expensya Detect UI/UX issues in Expensya’s solution Create bugs and follow the status on the tracking tool (Azure DevOps) Work alongside developers to set-up and maintain test data when needed Maintain clear test cases and other relevant documentation Report regularly to stakeholders and provide good QA analysis and risk assessment Work with the team to continuously improve the QA process Audit of critical test cases that can be automated Assist other teams to reproduce problems reported by customers or to facilitate diagnostic Provide knowledge transfer to new joiners",QA Test and Validation,Expensya,Tunis,"
Tunis,","
Il y a 30+ jours",2023-07-04 12:48:18.539055,,
9,"What we're looking for We are looking for people who are passionate about delivering end-to-end services, with high quality, into production. If you are a Software Engineer with a passion for delivering quality and are looking for a place where your abundance of ideas will be welcomed and supported, you may just have found your dream job. In this role, you will be helping deliver robust, quality business applications by collaboratively engineering solutions in a constantly evolving business environment. Responsibilities Contribute to Expensya's mobile codebase as a Mobile Developer. Design, and develop features and solutions with high quality for our mobile Apps. Close collaboration with technical and non-technical roles to understand and challenge end user requirements, and ultimately translate these into effective technical solutions.",Mobile Engineer,Expensya,Tunis,"
Tunis,","
Il y a 29 jours",2023-07-04 12:48:18.886973,,
